as_of,target_quarter,horizon_month,method,nowcast_livello,nowcast_z,gdp_realizzato,errore,n_iter,converged
2018-11-15,2018Q4,2,student_t,0.7326521566347338,0.12785217755315798,0.141543998318383,0.5911081583163509,95.0,True
2018-12-15,2018Q4,3,arma22,0.620276471104336,-0.06942082841182594,0.141543998318383,0.47873247278595304,,True
2018-12-15,2018Q4,3,gaussian,0.67593450459823,0.02828560622852306,0.141543998318383,0.5343905062798471,52.0,True
2018-12-15,2018Q4,3,random_walk,0.621760482522582,-0.06681567951345019,0.141543998318383,0.480216484204199,,True
2018-12-15,2018Q4,3,student_t,0.6922353802071349,0.05690142926935428,0.141543998318383,0.550691381888752,95.0,True
2019-01-15,2018Q4,4,arma22,0.620276471104336,-0.06942082841182594,0.141543998318383,0.47873247278595304,,True
2019-01-15,2018Q4,4,gaussian,0.7789499309760731,0.2091268863186404,0.141543998318383,0.6374059326576902,52.0,True
2019-01-15,2018Q4,4,random_walk,0.621760482522582,-0.06681567951345019,0.141543998318383,0.480216484204199,,True
2019-01-15,2018Q4,4,student_t,0.7793097935078308,0.2097586169553784,0.141543998318383,0.6377657951894478,95.0,True
2019-01-15,2019Q1,1,arma22,0.6457801849902107,-0.02464962832712029,0.6223772907267389,0.023402894263471863,,True
2019-01-15,2019Q1,1,gaussian,0.7836475884561136,0.21737351909963284,0.6223772907267389,0.16127029772937473,52.0,True
2019-01-15,2019Q1,1,random_walk,0.621760482522582,-0.06681567951345019,0.6223772907267389,-0.0006168082041568823,,True
2019-01-15,2019Q1,1,student_t,0.7200466864193714,0.10572355614142077,0.6223772907267389,0.09766939569263255,95.0,True
2019-02-15,2019Q1,2,arma22,0.5034852251900132,-0.2679323604919541,0.6223772907267389,-0.11889206553672571,,True
2019-02-15,2019Q1,2,gaussian,0.3950855478031299,-0.4583513651923196,0.6223772907267389,-0.22729174292360899,52.0,True
2019-02-15,2019Q1,2,random_walk,0.141543998318383,-0.9037321141659869,0.6223772907267389,-0.4808332924083559,,True
2019-02-15,2019Q1,2,student_t,0.414666084404543,-0.42395544833148835,0.6223772907267389,-0.20771120632219586,99.0,True
2019-03-15,2019Q1,3,arma22,0.5034852251900132,-0.2679323604919541,0.6223772907267389,-0.11889206553672571,,True
2019-03-15,2019Q1,3,gaussian,0.5393845724404569,-0.20487019889137478,0.6223772907267389,-0.08299271828628196,52.0,True
2019-03-15,2019Q1,3,random_walk,0.141543998318383,-0.9037321141659869,0.6223772907267389,-0.4808332924083559,,True
2019-03-15,2019Q1,3,student_t,0.5489261258025252,-0.18810914260136471,0.6223772907267389,-0.07345116492421366,99.0,True
2019-04-15,2019Q1,4,arma22,0.5034852251900132,-0.2679323604919541,0.6223772907267389,-0.11889206553672571,,True
2019-04-15,2019Q1,4,gaussian,0.468269101416899,-0.3297943456927764,0.6223772907267389,-0.15410818930983988,52.0,True
2019-04-15,2019Q1,4,random_walk,0.141543998318383,-0.9037321141659869,0.6223772907267389,-0.4808332924083559,,True
2019-04-15,2019Q1,4,student_t,0.4801265259814598,-0.3089651417844026,0.6223772907267389,-0.1422507647452791,98.0,True
2019-04-15,2019Q2,1,arma22,0.4884567278269334,-0.2943319917362994,0.8316777932895647,-0.3432210654626313,,True
2019-04-15,2019Q2,1,gaussian,0.5674133475073182,-0.1556337843571007,0.8316777932895647,-0.2642644457822465,52.0,True
2019-04-15,2019Q2,1,random_walk,0.141543998318383,-0.9037321141659869,0.8316777932895647,-0.6901337949711817,,True
2019-04-15,2019Q2,1,student_t,0.5486214218074137,-0.18864439725226453,0.8316777932895647,-0.283056371482151,98.0,True
2019-05-15,2019Q2,2,arma22,0.5236033804044965,-0.2330160643948329,0.8316777932895647,-0.3080744128850682,,True
2019-05-15,2019Q2,2,gaussian,0.3144021347045823,-0.6018607781705428,0.8316777932895647,-0.5172756585849825,52.0,True
2019-05-15,2019Q2,2,random_walk,0.6223772907267389,-0.058866839998842325,0.8316777932895647,-0.20930050256282584,,True
2019-05-15,2019Q2,2,student_t,0.34519786403879343,-0.547564533739547,0.8316777932895647,-0.48647992925077127,99.0,True
2019-06-15,2019Q2,3,arma22,0.5236033804044965,-0.2330160643948329,0.8316777932895647,-0.3080744128850682,,True
2019-06-15,2019Q2,3,gaussian,0.3951741764608246,-0.4594508201275774,0.8316777932895647,-0.4365036168287401,52.0,True
2019-06-15,2019Q2,3,random_walk,0.6223772907267389,-0.058866839998842325,0.8316777932895647,-0.20930050256282584,,True
2019-06-15,2019Q2,3,student_t,0.4227221865961973,-0.4108806604257221,0.8316777932895647,-0.4089556066933674,98.0,True
2019-07-15,2019Q2,4,arma22,0.5236033804044965,-0.2330160643948329,0.8316777932895647,-0.3080744128850682,,True
