as_of,target_quarter,horizon_month,method,nowcast_livello,nowcast_z,gdp_realizzato,errore,n_iter,converged
2009-02-15,2009Q1,2,gaussian,-1.280055724769086,-3.3365659583055134,-1.1413631359902254,-0.1386925887788606,35.0,True
2009-02-15,2009Q1,2,random_walk,-2.213341273948544,-4.899542227174224,-1.1413631359902254,-1.0719781379583186,,True
2009-02-15,2009Q1,2,student_t,-0.8733800941040627,-2.6555049899711314,-1.1413631359902254,0.2679830418861627,40.0,True
2009-03-15,2009Q1,3,arma22,-0.5852741629945928,-2.1730130734935544,-1.1413631359902254,0.5560889729956326,,True
2009-03-15,2009Q1,3,gaussian,-1.6605220045941165,-3.973734043672428,-1.1413631359902254,-0.519158868603891,33.0,True
2009-03-15,2009Q1,3,random_walk,-2.213341273948544,-4.899542227174224,-1.1413631359902254,-1.0719781379583186,,True
2009-03-15,2009Q1,3,student_t,-1.1507297751122445,-3.1199833802935983,-1.1413631359902254,-0.0093666391220188,40.0,True
2009-04-15,2009Q1,4,arma22,-0.5852741629945928,-2.1730130734935544,-1.1413631359902254,0.5560889729956326,,True
2009-04-15,2009Q1,4,gaussian,-1.804531793418949,-4.214907693704727,-1.1413631359902254,-0.6631686574287241,34.0,True
2009-04-15,2009Q1,4,random_walk,-2.213341273948544,-4.899542227174224,-1.1413631359902254,-1.0719781379583186,,True
2009-04-15,2009Q1,4,student_t,-1.261651410903176,-3.3057441955100657,-1.1413631359902254,-0.1202882749129505,40.0,True
2009-04-15,2009Q2,1,arma22,-0.5787559561466527,-2.162097011814613,-0.178810721762801,-0.3999452343838516,,True
2009-04-15,2009Q2,1,gaussian,-0.103642391174836,-1.366422817864599,-0.178810721762801,0.0751683305879649,34.0,True
2009-04-15,2009Q2,1,random_walk,-2.213341273948544,-4.899542227174224,-0.178810721762801,-2.034530552185743,,True
2009-04-15,2009Q2,1,student_t,0.1497175557741941,-0.9421201112478218,-0.178810721762801,0.3285282775369951,40.0,True
2009-05-15,2009Q2,2,arma22,-0.84173727057029,-2.4633106156492044,-0.178810721762801,-0.662926548807489,,True
2009-05-15,2009Q2,2,gaussian,-0.0648463562125405,-1.216507625903854,-0.178810721762801,0.1139643655502604,33.0,True
2009-05-15,2009Q2,2,random_walk,-1.1413631359902254,-2.9441688904810643,-0.178810721762801,-0.9625524142274244,,True
2009-05-15,2009Q2,2,student_t,0.0244832379025047,-1.0731459222759367,-0.178810721762801,0.2032939596653057,39.0,True
2009-06-15,2009Q2,3,arma22,-0.84173727057029,-2.4633106156492044,-0.178810721762801,-0.662926548807489,,True
2009-06-15,2009Q2,3,gaussian,-0.4214016061254469,-1.7887297273404783,-0.178810721762801,-0.2425908843626459,33.0,True
2009-06-15,2009Q2,3,random_walk,-1.1413631359902254,-2.9441688904810643,-0.178810721762801,-0.9625524142274244,,True
2009-06-15,2009Q2,3,student_t,-0.2782503739341512,-1.5589917023702835,-0.178810721762801,-0.0994396521713502,40.0,True
2009-07-15,2009Q2,4,arma22,-0.84173727057029,-2.4633106156492044,-0.178810721762801,-0.662926548807489,,True
2009-07-15,2009Q2,4,gaussian,-0.5145303469211681,-1.9381885384932835,-0.178810721762801,-0.335719625158367,32.0,True
2009-07-15,2009Q2,4,random_walk,-1.1413631359902254,-2.9441688904810643,-0.178810721762801,-0.9625524142274244,,True
2009-07-15,2009Q2,4,student_t,-0.3674911072721775,-1.702210796681486,-0.178810721762801,-0.1886803855093765,39.0,True
2009-07-15,2009Q3,1,arma22,-0.4623966077526799,-1.85452106258309,0.3505771547139602,-0.8129737624666401,,True
2009-07-15,2009Q3,1,gaussian,0.523391935056495,-0.2724661309106463,0.3505771547139602,0.17281478034253472,32.0,True
2009-07-15,2009Q3,1,random_walk,-1.1413631359902254,-2.9441688904810643,0.3505771547139602,-1.4919402907041857,,True
2009-07-15,2009Q3,1,student_t,0.48686679249241016,-0.33108395756836106,0.3505771547139602,0.13628963777844993,39.0,True
2009-08-15,2009Q3,2,arma22,-0.12224607780752084,-1.2881311254954921,0.3505771547139602,-0.47282323252148106,,True
2009-08-15,2009Q3,2,gaussian,0.5424740536835264,-0.2264695517360576,0.3505771547139602,0.1918968989695662,31.0,True
2009-08-15,2009Q3,2,random_walk,-0.178810721762801,-1.3784736712914196,0.3505771547139602,-0.5293878764767612,,True
2009-08-15,2009Q3,2,student_t,0.5833755126937574,-0.16114355168780473,0.3505771547139602,0.2327983579797972,37.0,True
2009-09-15,2009Q3,3,arma22,-0.12224607780752084,-1.2881311254954921,0.3505771547139602,-0.47282323252148106,,True
2009-09-15,2009Q3,3,gaussian,0.9522608052943049,0.4280237109322254,0.3505771547139602,0.6016836505803447,31.0,True
2009-09-15,2009Q3,3,random_walk,-0.178810721762801,-1.3784736712914196,0.3505771547139602,-0.5293878764767612,,True
2009-09-15,2009Q3,3,student_t,0.885559493475111,0.32149132786908674,0.3505771547139602,0.5349823387611508,37.0,True
2009-10-15,2009Q3,4,arma22,-0.12224607780752084,-1.2881311254954921,0.3505771547139602,-0.47282323252148106,,True
2009-10-15,2009Q3,4,gaussian,1.03557429600891,0.5610883308784489,0.3505771547139602,0.6849971412949498,31.0,True
2009-10-15,2009Q3,4,random_walk,-0.178810721762801,-1.3784736712914196,0.3505771547139602,-0.5293878764767612,,True
2009-10-15,2009Q3,4,student_t,0.971272548546115,0.4583884258015522,0.3505771547139602,0.6206953938321548,37.0,True
2009-10-15,2009Q4,1,arma22,0.09268583306915756,-0.9448513902471996,1.0751135379244658,-0.9824277048553083,,True
2009-10-15,2009Q4,1,gaussian,0.905893709064693,0.35396823702418434,1.0751135379244658,-0.16921982885977283,31.0,True
2009-10-15,2009Q4,1,random_walk,-0.178810721762801,-1.3784736712914196,1.0751135379244658,-1.2539242596872668,,True
2009-10-15,2009Q4,1,student_t,0.8932097762287518,0.33371002088462143,1.0751135379244658,-0.1819037616957141,37.0,True
2009-11-15,2009Q4,2,arma22,0.3644875263055208,-0.5072219785671819,1.0751135379244658,-0.7106260116189451,,True
2009-11-15,2009Q4,2,gaussian,0.8335435670524352,0.24469628237249194,1.0751135379244658,-0.2415699708720307,31.0,True
2009-11-15,2009Q4,2,random_walk,0.3505771547139602,-0.5295209396881078,1.0751135379244658,-0.7245363832105056,,True
2009-11-15,2009Q4,2,student_t,0.8067231393938857,0.20170191161337817,1.0751135379244658,-0.2683903985305801,38.0,True
2009-12-15,2009Q4,3,arma22,0.3644875263055208,-0.5072219785671819,1.0751135379244658,-0.7106260116189451,,True
2009-12-15,2009Q4,3,gaussian,0.988484985490403,0.4930744542299226,1.0751135379244658,-0.08662855243406287,31.0,True
2009-12-15,2009Q4,3,random_walk,0.3505771547139602,-0.5295209396881078,1.0751135379244658,-0.7245363832105056,,True
2009-12-15,2009Q4,3,student_t,0.9289758742892549,0.3976786304533427,1.0751135379244658,-0.14613766363521097,38.0,True
