window,modello,trimestre,realizzato,fed,err_fed,mio_migliore,err_migliore,mio_peggiore,err_peggiore
completo,qbvar,2012Q3,0.5773578286532466,1.64,1.0626421713467533,qbvar/-,0.7541409917081523,qbvar/-,0.7541409917081523
completo,qbvar,2012Q4,0.4633651980530562,2.66,2.196634801946944,qbvar/-,1.95881918783134,qbvar/-,1.95881918783134
completo,qbvar,2013Q1,4.005025807945661,3.83,-0.17502580794566125,qbvar/-,-0.8722315803221248,qbvar/-,-0.8722315803221248
completo,qbvar,2013Q2,1.0748507650766292,1.95,0.8751492349233707,qbvar/-,1.1824845486765656,qbvar/-,1.1824845486765656
completo,qbvar,2013Q3,3.4493139225505898,2.15,-1.2993139225505899,qbvar/-,-0.6916562172967877,qbvar/-,-0.6916562172967877
completo,qbvar,2013Q4,3.532828598657445,3.42,-0.11282859865744488,qbvar/-,-0.7277995636779888,qbvar/-,-0.7277995636779888
completo,qbvar,2014Q1,-1.3732548917761769,2.23,3.603254891776177,qbvar/-,2.962935464696193,qbvar/-,2.962935464696193
completo,qbvar,2014Q2,5.268365026582655,3.07,-2.1983650265826555,qbvar/-,-0.6950827876027743,qbvar/-,-0.6950827876027743
completo,qbvar,2014Q3,4.950916534930627,2.2,-2.750916534930627,qbvar/-,-1.3707217533097782,qbvar/-,-1.3707217533097782
completo,qbvar,2014Q4,2.0383303103057804,2.56,0.5216696896942197,qbvar/-,1.6081148992856065,qbvar/-,1.6081148992856065
completo,qbvar,2015Q1,3.650885031119766,0.64,-3.010885031119766,qbvar/-,-1.841837180951511,qbvar/-,-1.841837180951511
completo,qbvar,2015Q2,2.500735310964308,2.2,-0.3007353109643076,qbvar/-,0.051074298821119246,qbvar/-,0.051074298821119246
completo,qbvar,2015Q3,1.61061768429811,2.02,0.4093823157018901,qbvar/-,0.9107146143301439,qbvar/-,0.9107146143301439
completo,qbvar,2015Q4,0.7399609712167354,1.42,0.6800390287832645,qbvar/-,1.0638318702796965,qbvar/-,1.0638318702796965
completo,qbvar,2016Q1,2.3383061524439253,0.7,-1.6383061524439253,qbvar/-,0.07238571519539994,qbvar/-,0.07238571519539994
completo,qbvar,2016Q2,1.290696770237454,2.17,0.8793032297625458,qbvar/-,0.6124545542417814,qbvar/-,0.6124545542417814
completo,qbvar,2016Q3,2.8678981414693494,2.22,-0.6478981414693492,qbvar/-,0.14767995465879702,qbvar/-,0.14767995465879702
completo,qbvar,2016Q4,2.235699518586598,2.02,-0.21569951858659797,qbvar/-,0.4112544914617322,qbvar/-,0.4112544914617322
completo,qbvar,2017Q1,1.9618307902452337,2.65,0.6881692097547663,qbvar/-,1.2541658264906608,qbvar/-,1.2541658264906608
completo,qbvar,2017Q2,2.258367983115228,2.04,-0.2183679831152281,qbvar/-,1.9110688060742014,qbvar/-,1.9110688060742014
completo,qbvar,2017Q3,3.1915992394406345,1.6,-1.5915992394406344,qbvar/-,0.32416940308037656,qbvar/-,0.32416940308037656
completo,qbvar,2017Q4,4.584974811729059,3.88,-0.7049748117290591,qbvar/-,-0.6112642625200615,qbvar/-,-0.6112642625200615
completo,qbvar,2018Q1,3.293553047698339,2.97,-0.3235530476983386,qbvar/-,-0.5232111747420665,qbvar/-,-0.5232111747420665
completo,qbvar,2018Q2,2.140266992640893,2.78,0.6397330073591068,qbvar/-,1.316258764183032,qbvar/-,1.316258764183032
completo,qbvar,2018Q3,2.5182268082057035,2.18,-0.3382268082057034,qbvar/-,1.1435070213299254,qbvar/-,1.1435070213299254
completo,qbvar,2018Q4,0.5677817986818878,2.57,2.002218201318112,qbvar/-,2.170713933800694,qbvar/-,2.170713933800694
completo,qbvar,2019Q1,2.520756202743435,1.43,-1.090756202743435,qbvar/-,-0.36145242402206845,qbvar/-,-0.36145242402206845
completo,qbvar,2019Q2,3.382664959003589,1.5,-1.882664959003589,qbvar/-,-1.165419619386598,qbvar/-,-1.165419619386598
completo,qbvar,2019Q3,4.762784209178728,1.91,-2.8527842091787274,qbvar/-,-2.3702424149638635,qbvar/-,-2.3702424149638635
completo,qbvar,2019Q4,2.755535957854649,1.22,-1.535535957854649,qbvar/-,-1.2783632539712153,qbvar/-,-1.2783632539712153
completo,qbvar,2020Q1,-5.16223383893778,-0.4,4.76223383893778,qbvar/-,5.811833231271047,qbvar/-,5.811833231271047
completo,qbvar,2020Q2,-27.97614656719044,-14.27,13.70614656719044,qbvar/-,9.553646888435175,qbvar/-,9.553646888435175
completo,qbvar,2020Q3,34.85500597467652,13.75,-21.105005974676523,qbvar/-,-12.76656034207543,qbvar/-,-12.76656034207543
completo,qbvar,2020Q4,4.611736044615711,2.58,-2.0317360446157107,qbvar/-,3.4373358472270183,qbvar/-,3.4373358472270183
completo,qbvar,2021Q1,5.701255644273506,6.86,1.158744355726494,qbvar/-,-0.7287134934009893,qbvar/-,-0.7287134934009893
