window,trimestre,realizzato,fed,err_fed,mio_migliore,err_migliore,mio_peggiore,err_peggiore
2007-2025,2014Q4,2.0383303103057804,2.56,0.5216696896942197,fed_overlap/gaussian,0.6807712879581151,fed_overlap/gaussian_ar1,1.0943619327413274
2007-2025,2015Q1,3.650885031119766,0.64,-3.010885031119766,fed_overlap/student_t,-2.791988660706779,fed_overlap/gaussian,-3.1836866070585224
2007-2025,2015Q2,2.500735310964308,2.2,-0.3007353109643076,fed_overlap/gaussian_ar1,-1.7826843580344582,fed_overlap/student_t_ar1,-2.644527405629626
2007-2025,2015Q3,1.61061768429811,2.02,0.4093823157018901,fed_overlap/gaussian,0.6460117052409229,fed_overlap/student_t_ar1_shared,1.6512608137413622
2007-2025,2015Q4,0.7399609712167354,1.42,0.6800390287832645,fed_overlap/student_t,-0.06321699599216579,fed_overlap/student_t_ar1_shared,0.5436742303615238
2007-2025,2016Q1,2.3383061524439253,0.7,-1.6383061524439253,fed_overlap/student_t_ar1_shared,-0.35077736920015035,fed_overlap/student_t_ar1,-1.0727887924232293
2007-2025,2016Q2,1.290696770237454,2.17,0.8793032297625458,fed_overlap/gaussian,0.306014593196013,fed_overlap/student_t_ar1_shared,1.144798844386674
2007-2025,2016Q3,2.8678981414693494,2.22,-0.6478981414693492,fed_overlap/gaussian_ar1,0.1015621752465723,fed_overlap/gaussian,-0.5166168815073253
2007-2025,2016Q4,2.235699518586598,2.02,-0.21569951858659797,fed_overlap/gaussian_ar1,0.08188261939188202,fed_overlap/gaussian,-0.41630721276095795
2007-2025,2017Q1,1.9618307902452337,2.65,0.6881692097547663,fed_overlap/gaussian,-0.08798559043050558,fed_overlap/student_t_ar1_shared,0.8921004803904564
2007-2025,2017Q2,2.258367983115228,2.04,-0.2183679831152281,fed_overlap/student_t,1.5480348017780758,fed_overlap/student_t_ar1_shared,2.606092357649481
2007-2025,2017Q3,3.1915992394406345,1.6,-1.5915992394406344,fed_overlap/gaussian_ar1,-0.8929168220955135,fed_overlap/gaussian,-1.7194707625329597
2007-2025,2017Q4,4.584974811729059,3.88,-0.7049748117290591,fed_overlap/student_t_ar1_shared,-0.16866346693880097,fed_overlap/student_t,-0.9861714227180629
2007-2025,2018Q1,3.293553047698339,2.97,-0.3235530476983386,fed_overlap/student_t_ar1,0.10497896685031094,fed_overlap/student_t,-0.9245965075297624
2007-2025,2018Q2,2.140266992640893,2.78,0.6397330073591068,fed_overlap/student_t,0.930656698869226,fed_overlap/gaussian_ar1,1.9675940996482626
2007-2025,2018Q3,2.5182268082057035,2.18,-0.3382268082057034,fed_overlap/student_t,0.18289221283851465,fed_overlap/gaussian_ar1,1.0189451289524865
2007-2025,2018Q4,0.5677817986818878,2.57,2.002218201318112,fed_overlap/student_t,1.4911282771670642,fed_overlap/gaussian_ar1,1.8568432219680409
2007-2025,2019Q1,2.520756202743435,1.43,-1.090756202743435,fed_overlap/gaussian_ar1,-1.4814996039990147,fed_overlap/student_t_ar1_shared,-1.921806061036735
2007-2025,2019Q2,3.382664959003589,1.5,-1.882664959003589,fed_overlap/gaussian_ar1,-1.9612128109993683,fed_overlap/gaussian,-2.202983496955224
2007-2025,2019Q3,4.762784209178728,1.91,-2.8527842091787274,fed_overlap/student_t_ar1_shared,-2.130347668929433,fed_overlap/gaussian,-2.680485281184275
2007-2025,2019Q4,2.755535957854649,1.22,-1.535535957854649,fed_overlap/gaussian_ar1,-1.0194031847526208,fed_overlap/gaussian,-1.305372866092136
2007-2025,2020Q1,-5.16223383893778,-0.4,4.76223383893778,fed_overlap/gaussian,5.228849553967796,fed_overlap/student_t_ar1_shared,5.928753596273062
2007-2025,2020Q2,-27.97614656719044,-14.27,13.70614656719044,fed_overlap/gaussian,13.632146257124033,fed_overlap/gaussian_ar1,17.18768063295211
2007-2025,2020Q3,34.85500597467652,13.75,-21.105005974676523,fed_overlap/student_t_ar1,-11.079226459699143,fed_overlap/student_t_ar1_shared,-18.7151404142613
2007-2025,2020Q4,4.611736044615711,2.58,-2.0317360446157107,fed_overlap/student_t,0.2420193965093187,fed_overlap/gaussian_ar1,3.832513930044602
2007-2025,2021Q1,5.701255644273506,6.86,1.158744355726494,fed_overlap/student_t_ar1_shared,-0.6099534367530524,fed_overlap/gaussian,-4.500115322500475
2007-2025,2021Q2,6.983331307653917,3.16,-3.823331307653917,fed_overlap/gaussian_ar1,0.46672639890215084,fed_overlap/student_t,-3.376526269122837
