window,n_trimestri,metodo,n,n_com,RMSE,RMSE_com,RMSE_rel_ar2,MAE,Bias,corr,MDA,MDA_com,n_dir,SignAcc
2007-2025,66,fed_overlap/student_t_ar1_shared,1983,1371,4.977027961844381,4.290581246072584,0.67910542500978,2.3541358040791174,0.4328814913129419,0.6064443691704381,0.7645275391611925,0.7709700948212983,1979,0.8799798285426123
2007-2025,66,ar2,1983,1371,7.328800181168786,7.662754828726767,1.0,3.121775967465063,-0.24112350502262223,-0.28577968799370973,0.7134916624557858,0.7075127644055434,1979,0.8275340393343419
2007-2025,66,mean,1983,1371,6.105985755803087,6.142513046660147,0.8331494384977642,2.7416299465932585,0.45156630224338434,-0.2639236815604899,0.7412834765032845,0.7359591539022611,1979,0.848714069591528
2007-2010,14,fed_overlap/gaussian,420,309,2.8429986613020755,2.599441634907502,0.7479639491095841,1.9892202319259187,0.9873175627926029,0.6448467718490015,0.8413461538461539,0.8673139158576052,416,0.7571428571428571
2007-2010,14,fed_overlap/gaussian_ar1,420,309,3.1375045609004135,2.7915604768548685,0.8254454473241337,2.1765441227227766,1.0726486734946898,0.5591426791778393,0.8557692307692307,0.883495145631068,416,0.7476190476190476
2007-2010,14,fed_overlap/student_t,420,309,2.792932309166655,2.583207580007772,0.7347920025411783,1.8222325809660571,1.1373603632196139,0.6905819931520666,0.8509615384615384,0.8770226537216829,416,0.7785714285714286
2007-2010,14,fed_overlap/student_t_ar1,420,309,3.1192927431172834,2.7999066238926074,0.820654103826527,2.0718057597925448,1.4078073464799976,0.6044263625188229,0.84375,0.8705501618122977,416,0.7571428571428571
2007-2010,14,fed_overlap/student_t_ar1_shared,420,309,3.056476612411517,2.7135107783146455,0.8041278205644201,1.9700978515575327,1.558749000287545,0.6558173576038039,0.8509615384615384,0.8737864077669902,416,0.7690476190476191
2007-2010,14,ar2,420,309,3.800983542972267,3.6672788397895055,1.0,2.515755199162658,1.1619218221955565,0.1827563098566789,0.7115384615384616,0.7281553398058253,416,0.6547619047619048
2007-2010,14,mean,420,309,4.306903480213524,4.291801320025673,1.1331023750883282,2.908755089556668,2.4628894245234605,-0.2863411623729627,0.6802884615384616,0.686084142394822,416,0.6428571428571429
2019-2021,10,fed_overlap/gaussian,300,203,11.785734108830633,10.054320255815826,0.6572596462846798,6.5913119347554945,-0.5031529970329188,0.6156930752542252,0.7866666666666666,0.7389162561576355,300,0.82
2019-2021,10,fed_overlap/gaussian_ar1,300,203,12.18073718149775,10.528326880530509,0.6792879372188888,6.915269070056159,0.04644697448626213,0.5676860557358632,0.76,0.7438423645320197,300,0.83
2019-2021,10,fed_overlap/student_t,300,203,11.87247894729102,10.485863388517567,0.6620971796378866,6.778386421289169,-0.3551926784241209,0.6663642853212209,0.7633333333333333,0.6995073891625616,300,0.8366666666666667
2019-2021,10,fed_overlap/student_t_ar1,300,203,11.720536379220473,10.13149999982297,0.6536237389829844,6.607405345415532,0.13405500530080455,0.6335783374746063,0.7333333333333333,0.7044334975369458,300,0.8333333333333334
2019-2021,10,fed_overlap/student_t_ar1_shared,300,203,11.704347698692445,10.015156803351246,0.6527209385006881,6.64581619000139,0.10399440942102084,0.6417144569956471,0.77,0.7339901477832512,300,0.8366666666666667
2019-2021,10,ar2,300,203,17.931625918999234,19.069504627048413,1.0,11.193397508523892,-3.065069134145547,-0.35823954824367726,0.5966666666666667,0.49261083743842365,300,0.6433333333333333
2019-2021,10,mean,300,203,14.438463567022895,14.693237167003012,0.8051954481007101,8.413533761658975,-0.7199419209054194,-0.4052127308852223,0.77,0.7044334975369458,300,0.8
