window,metodo,target_quarter,as_of,horizon_week,nowcast_bea,realizzato_bea,gdp_release_date,errore
2007-2021,fed_overlap/gaussian,2013Q3,2013-10-25,17,2.558062678301809,3.4493139225505898,2013-10-28,-0.8912512442487808
2007-2021,fed_overlap/gaussian,2013Q4,2014-01-24,17,2.90612447717975,3.532828598657445,2014-01-28,-0.6267041214776947
2007-2021,fed_overlap/gaussian,2014Q1,2014-04-25,17,2.8979788105151227,-1.3732548917761769,2014-04-28,4.271233702291299
2007-2021,fed_overlap/gaussian,2014Q2,2014-07-25,17,3.863195118212892,5.268365026582655,2014-07-28,-1.4051699083697633
2007-2021,fed_overlap/gaussian,2014Q3,2014-10-24,17,2.637780389979305,4.950916534930627,2014-10-28,-2.313136144951322
2007-2021,fed_overlap/gaussian,2014Q4,2015-01-23,17,2.7191015982638955,2.0383303103057804,2015-01-28,0.6807712879581151
2007-2021,fed_overlap/gaussian,2015Q1,2015-04-24,17,0.4671984240612437,3.650885031119766,2015-04-28,-3.1836866070585224
2007-2021,fed_overlap/gaussian,2015Q2,2015-07-24,17,0.1704717444899195,2.500735310964308,2015-07-28,-2.3302635664743883
2007-2021,fed_overlap/gaussian,2015Q3,2015-10-23,17,2.256629389539033,1.61061768429811,2015-10-28,0.6460117052409229
2007-2021,fed_overlap/gaussian,2015Q4,2016-01-22,17,0.3127269430842183,0.7399609712167354,2016-01-28,-0.42723402813251715
2007-2021,fed_overlap/gaussian,2016Q1,2016-04-22,17,1.3809858185763968,2.3383061524439253,2016-04-28,-0.9573203338675285
2007-2021,fed_overlap/gaussian,2016Q2,2016-07-22,17,1.596711363433467,1.290696770237454,2016-07-28,0.306014593196013
2007-2021,fed_overlap/gaussian,2016Q3,2016-10-21,17,2.351281259962024,2.8678981414693494,2016-10-28,-0.5166168815073253
2007-2021,fed_overlap/gaussian,2016Q4,2017-01-27,17,1.81939230582564,2.235699518586598,2017-01-28,-0.41630721276095795
2007-2021,fed_overlap/gaussian,2017Q1,2017-04-21,16,1.873845199814728,1.9618307902452337,2017-04-28,-0.08798559043050558
2007-2021,fed_overlap/gaussian,2017Q2,2017-07-21,16,3.954922346417056,2.258367983115228,2017-07-28,1.696554363301828
2007-2021,fed_overlap/gaussian,2017Q3,2017-10-27,17,1.4721284769076748,3.1915992394406345,2017-10-28,-1.7194707625329597
2007-2021,fed_overlap/gaussian,2017Q4,2018-01-26,17,3.761535427553775,4.584974811729059,2018-01-28,-0.8234393841752841
2007-2021,fed_overlap/gaussian,2018Q1,2018-04-27,17,2.536812694878865,3.293553047698339,2018-04-28,-0.7567403528194738
2007-2021,fed_overlap/gaussian,2018Q2,2018-07-27,17,3.370026801482373,2.140266992640893,2018-07-28,1.22975980884148
2007-2021,fed_overlap/gaussian,2018Q3,2018-10-26,17,2.903505123702588,2.5182268082057035,2018-10-28,0.3852783154968846
2007-2021,fed_overlap/gaussian,2018Q4,2019-01-25,17,2.1185447854426886,0.5677817986818878,2019-01-28,1.5507629867608008
2007-2021,fed_overlap/gaussian,2019Q1,2019-04-26,17,0.6535860182737663,2.520756202743435,2019-04-28,-1.8671701844696686
2007-2021,fed_overlap/gaussian,2019Q2,2019-07-26,17,1.179681462048365,3.382664959003589,2019-07-28,-2.202983496955224
2007-2021,fed_overlap/gaussian,2019Q3,2019-10-25,17,2.0822989279944526,4.762784209178728,2019-10-28,-2.680485281184275
2007-2021,fed_overlap/gaussian,2019Q4,2020-01-24,17,1.450163091762513,2.755535957854649,2020-01-28,-1.305372866092136
2007-2021,fed_overlap/gaussian,2020Q1,2020-04-24,17,0.0666157150300161,-5.16223383893778,2020-04-28,5.228849553967796
2007-2021,fed_overlap/gaussian,2020Q2,2020-07-24,17,-14.344000310066408,-27.97614656719044,2020-07-28,13.632146257124033
2007-2021,fed_overlap/gaussian,2020Q3,2020-10-23,17,22.78234774757495,34.85500597467652,2020-10-28,-12.072658227101574
2007-2021,fed_overlap/gaussian,2020Q4,2021-01-22,17,5.566263369118718,4.611736044615711,2021-01-28,0.9545273245030073
2007-2021,fed_overlap/gaussian,2021Q1,2021-04-23,17,1.201140321773031,5.701255644273506,2021-04-28,-4.500115322500475
2007-2021,fed_overlap/gaussian,2021Q2,2021-07-23,17,4.273833021752371,6.983331307653917,2021-07-28,-2.709498285901546
2007-2021,fed_overlap/gaussian_ar1,2006Q4,2007-01-26,17,2.075495331905985,3.4823729200428755,2007-01-28,-1.4068775881368905
2007-2021,fed_overlap/gaussian_ar1,2007Q1,2007-04-27,17,3.754020733368968,1.2087836914185912,2007-04-28,2.5452370419503767
2007-2021,fed_overlap/gaussian_ar1,2007Q2,2007-07-27,17,3.379230749889439,2.4695947150627617,2007-07-28,0.9096360348266774
2007-2021,fed_overlap/gaussian_ar1,2007Q3,2007-10-26,17,2.1567050302706114,2.3240880884577653,2007-10-28,-0.16738305818715382
2007-2021,fed_overlap/gaussian_ar1,2007Q4,2008-01-25,17,2.614413681278016,2.5367271478347497,2008-01-28,0.07768653344326637
2007-2021,fed_overlap/gaussian_ar1,2008Q1,2008-04-25,17,1.7790735890000908,-1.6961606735480972,2008-04-28,3.475234262548188
2007-2021,fed_overlap/gaussian_ar1,2008Q2,2008-07-25,17,-0.5518831450161632,2.403069701864058,2008-07-28,-2.954952846880221
2007-2021,fed_overlap/gaussian_ar1,2008Q3,2008-10-24,17,-1.469998745205836,-2.0845363314131338,2008-10-28,0.6145375862072977
2007-2021,fed_overlap/gaussian_ar1,2008Q4,2009-01-23,17,-3.186901847588264,-8.472768957225274,2009-01-28,5.28586710963701
2007-2021,fed_overlap/gaussian_ar1,2009Q1,2009-04-24,17,-7.060140217648014,-4.462803810727223,2009-04-28,-2.5973364069207907
2007-2021,fed_overlap/gaussian_ar1,2009Q2,2009-07-24,17,-2.7444478575379683,-0.7126911125331037,2009-07-28,-2.0317567450048646
2007-2021,fed_overlap/gaussian_ar1,2009Q3,2009-10-23,17,4.680608669998687,1.412187087697636,2009-10-28,3.268421582301051
2007-2021,fed_overlap/gaussian_ar1,2009Q4,2010-01-22,17,4.5370687393332165,4.394263592305325,2010-01-28,0.14280514702789127
2007-2021,fed_overlap/gaussian_ar1,2010Q1,2010-04-23,17,4.74491678181026,1.952133820572155,2010-04-28,2.792782961238105
2007-2021,fed_overlap/gaussian_ar1,2010Q2,2010-07-23,17,4.975359955081982,3.926881074055233,2010-07-28,1.0484788810267487
2007-2021,fed_overlap/gaussian_ar1,2010Q3,2010-10-22,17,3.623045739884434,3.1201978026194954,2010-10-28,0.5028479372649386
2007-2021,fed_overlap/gaussian_ar1,2010Q4,2011-01-21,17,2.985064663256254,2.117043484228409,2011-01-28,0.8680211790278447
2007-2021,fed_overlap/gaussian_ar1,2011Q1,2011-04-22,16,3.1551842987883383,-0.9454489541211974,2011-04-28,4.100633252909535
2007-2021,fed_overlap/gaussian_ar1,2011Q2,2011-07-22,17,2.9740387486687947,2.7339190839842376,2011-07-28,0.24011966468455714
