window,metodo,target_quarter,as_of,horizon_week,nowcast_bea,realizzato_bea,gdp_release_date,errore
2007-2010,ar2,2009Q1,2009-04-24,17,-2.184797334212085,-4.462803810727223,2009-04-28,2.278006476515138
2007-2010,ar2,2009Q2,2009-07-24,17,-3.524028842602578,-0.7126911125331037,2009-07-28,-2.811337730069474
2007-2010,ar2,2009Q3,2009-10-23,17,-0.4139740374448641,1.412187087697636,2009-10-28,-1.8261611251425
2007-2010,ar2,2009Q4,2010-01-22,17,1.429736113434199,4.394263592305325,2010-01-28,-2.964527478871126
2007-2010,ar2,2010Q1,2010-04-23,17,2.9885811432554865,1.952133820572155,2010-04-28,1.0364473226833315
2007-2010,ar2,2010Q2,2010-07-23,17,2.900231154384425,3.926881074055233,2010-07-28,-1.0266499196708079
2007-2010,ar2,2010Q3,2010-10-22,17,2.9525600639850103,3.1201978026194954,2010-10-28,-0.16763773863448517
2007-2010,diag3/gaussian,2006Q4,2007-01-26,17,3.290534140563284,3.4823729200428755,2007-01-28,-0.19183877947959127
2007-2010,diag3/gaussian,2007Q1,2007-04-27,17,3.178417713977621,1.2087836914185912,2007-04-28,1.9696340225590299
2007-2010,diag3/gaussian,2007Q2,2007-07-27,17,3.3266837970720164,2.4695947150627617,2007-07-28,0.8570890820092547
2007-2010,diag3/gaussian,2007Q3,2007-10-26,17,3.2337422024450118,2.3240880884577653,2007-10-28,0.9096541139872465
2007-2010,diag3/gaussian,2007Q4,2008-01-25,17,3.1043065767372813,2.5367271478347497,2008-01-28,0.5675794289025315
2007-2010,diag3/gaussian,2008Q1,2008-04-25,17,2.7077346856139384,-1.6961606735480972,2008-04-28,4.403895359162036
2007-2010,diag3/gaussian,2008Q2,2008-07-25,17,2.418581900280703,2.403069701864058,2008-07-28,0.015512198416645084
2007-2010,diag3/gaussian,2008Q3,2008-10-24,17,2.2986046886239064,-2.0845363314131338,2008-10-28,4.383141020037041
2007-2010,diag3/gaussian,2008Q4,2009-01-23,17,0.2370374500733296,-8.472768957225274,2009-01-28,8.709806407298602
2007-2010,diag3/gaussian,2009Q1,2009-04-24,17,-2.342990633096376,-4.462803810727223,2009-04-28,2.119813177630847
2007-2010,diag3/gaussian,2009Q2,2009-07-24,17,-1.4229479793884892,-0.7126911125331037,2009-07-28,-0.7102568668553855
2007-2010,diag3/gaussian,2009Q3,2009-10-23,17,1.301219154701183,1.412187087697636,2009-10-28,-0.1109679329964528
2007-2010,diag3/gaussian,2009Q4,2010-01-22,17,3.20691404375344,4.394263592305325,2010-01-28,-1.1873495485518855
2007-2010,diag3/gaussian,2010Q1,2010-04-23,17,3.97673473561595,1.952133820572155,2010-04-28,2.024600915043795
