window,trimestre,realizzato,fed,err_fed,mio_migliore,err_migliore,mio_peggiore,err_peggiore
2007-2019,2015Q2,2.500735310964308,2.2,-0.3007353109643076,diag3/student_t,0.22467187528640897,diag3/student_t_ar1,-0.7130759675614491
2007-2019,2015Q3,1.61061768429811,2.02,0.4093823157018901,diag3/student_t_ar1,0.8036657054625749,diag3/gaussian,1.1169159226800842
2007-2019,2015Q4,0.7399609712167354,1.42,0.6800390287832645,diag3/student_t_ar1,0.5013862864990726,diag3/student_t,1.3700699584850766
2007-2019,2016Q1,2.3383061524439253,0.7,-1.6383061524439253,diag3/student_t,-0.43232745011243523,diag3/student_t_ar1,-1.2555915839598697
2007-2019,2016Q2,1.290696770237454,2.17,0.8793032297625458,diag3/student_t_ar1,0.8823757938865915,diag3/student_t,1.147172042925315
2007-2019,2016Q3,2.8678981414693494,2.22,-0.6478981414693492,diag3/gaussian_ar1,-0.34099171122228267,diag3/student_t_ar1_shared,-0.4794141507456384
2007-2019,2016Q4,2.235699518586598,2.02,-0.21569951858659797,diag3/student_t_ar1_shared,0.22545244599143643,diag3/gaussian,0.5203941565312458
2007-2019,2017Q1,1.9618307902452337,2.65,0.6881692097547663,diag3/student_t_ar1_shared,1.3020547817314871,diag3/gaussian,1.6498770152565183
2007-2019,2017Q2,2.258367983115228,2.04,-0.2183679831152281,diag3/student_t_ar1_shared,0.8394483536376507,diag3/gaussian,1.391274800221165
2007-2019,2017Q3,3.1915992394406345,1.6,-1.5915992394406344,diag3/student_t_ar1_shared,-0.00598796715534089,diag3/gaussian,0.7099285803970679
2007-2019,2017Q4,4.584974811729059,3.88,-0.7049748117290591,diag3/gaussian,-0.24175684558467303,diag3/student_t_ar1_shared,-0.8501974304986342
2007-2019,2018Q1,3.293553047698339,2.97,-0.3235530476983386,diag3/student_t_ar1_shared,0.4421745732350324,diag3/gaussian,1.106516905890076
2007-2019,2018Q2,2.140266992640893,2.78,0.6397330073591068,diag3/student_t_ar1_shared,1.5373511970584013,diag3/gaussian,2.078082520322489
2007-2019,2018Q3,2.5182268082057035,2.18,-0.3382268082057034,diag3/student_t_ar1_shared,0.8522213674863495,diag3/gaussian,1.7329634764994717
2007-2019,2018Q4,0.5677817986818878,2.57,2.002218201318112,diag3/student_t_ar1,2.469794488372501,diag3/gaussian,3.458317481779427
2007-2019,2019Q1,2.520756202743435,1.43,-1.090756202743435,diag3/student_t_ar1_shared,-0.17604962427664184,diag3/gaussian,0.8264456723965581
2007-2019,2019Q2,3.382664959003589,1.5,-1.882664959003589,diag3/gaussian,-0.44080399153913996,diag3/student_t_ar1,-1.3415108315162567
2007-2019,2019Q3,4.762784209178728,1.91,-2.8527842091787274,diag3/student_t,-2.3250466539611385,diag3/student_t_ar1,-2.6327171860661913
2007-2021,2006Q4,3.4823729200428755,1.78,-1.7023729200428754,diag3/gaussian,-0.19183877947959127,diag3/student_t_ar1_shared,-0.7082215213751519
2007-2021,2007Q1,1.2087836914185912,2.4,1.1912163085814087,diag3/gaussian_ar1,1.8421824803881437,diag3/student_t_ar1,2.221877231767655
2007-2021,2007Q2,2.4695947150627617,3.25,0.7804052849372383,diag3/student_t_ar1,0.3533394535045975,diag3/student_t_ar1_shared,1.2699285801143434
2007-2021,2007Q3,2.3240880884577653,1.99,-0.3340880884577653,diag3/gaussian_ar1,0.5305648737522928,diag3/student_t,0.9297406035571054
2007-2021,2007Q4,2.5367271478347497,1.49,-1.0467271478347497,diag3/student_t_ar1,0.36761430643372783,diag3/student_t,0.5858982896339571
2007-2021,2008Q1,-1.6961606735480972,1.43,3.126160673548097,diag3/gaussian,4.403895359162036,diag3/gaussian_ar1,4.47208086840607
2007-2021,2008Q2,2.403069701864058,1.99,-0.4130697018640579,diag3/gaussian,0.015512198416645084,diag3/student_t_ar1,-0.8652428953200397
2007-2021,2008Q3,-2.0845363314131338,-0.52,1.5645363314131338,diag3/gaussian_ar1,3.164257005712112,diag3/student_t,4.4032846685050036
2007-2021,2008Q4,-8.472768957225274,-3.47,5.002768957225273,diag3/gaussian_ar1,6.306605912065443,diag3/student_t,9.037639466476566
2007-2021,2009Q1,-4.462803810727223,-3.57,0.8928038107272234,diag3/student_t_ar1_shared,-0.015319582648742447,diag3/student_t,3.3407250997267495
2007-2021,2009Q2,-0.7126911125331037,0.04,0.7526911125331037,diag3/student_t,0.07108205120626154,diag3/gaussian_ar1,-3.2314709192783226
2007-2021,2009Q3,1.412187087697636,5.2,3.787812912302364,diag3/gaussian,-0.1109679329964528,diag3/student_t_ar1_shared,-0.5588945573157031
2007-2021,2009Q4,4.394263592305325,4.32,-0.07426359230532498,diag3/student_t_ar1,-0.6911309277698003,diag3/student_t_ar1_shared,-1.4848000565849122
2007-2021,2010Q1,1.952133820572155,3.98,2.027866179427845,diag3/student_t_ar1_shared,1.744916084977377,diag3/student_t_ar1,2.384938036354889
