window,fase,metodo,n,RMSE,MAE,Bias,corr,MDA,n_dir,SignAcc,RMSE_rel_ar2,RMSE_rel_mean
2007-2010,nowcast M3,diag3/student_t,56,3.1974498213218463,2.026411481900554,1.831171469475317,0.7026624603902735,0.6607142857142857,56,0.7857142857142857,0.9166177535476446,0.746209633497726
2007-2010,nowcast M3,diag3/student_t_ar1,56,3.0637575894876607,2.227757216378355,0.9387029592705055,0.6441160752322264,0.7142857142857143,56,0.8571428571428571,0.8782920001946298,0.715009008970884
2007-2010,nowcast M3,diag3/student_t_ar1_shared,56,2.8531819068384685,1.8475009727288316,1.184050293176093,0.6689271616691144,0.7857142857142857,56,0.8571428571428571,0.8179259522602577,0.6658655941390519
2007-2010,nowcast M3,diag4/gaussian,56,2.384032109302518,1.853812722963495,1.0810496716690339,0.806244319349501,0.8214285714285714,56,0.8571428571428571,0.6834340735677071,0.556377058575386
2007-2010,nowcast M3,diag4/gaussian_ar1,56,2.4766816099318367,1.9188047306750458,0.7768743814909217,0.7692274674571308,1.0,56,0.8214285714285714,0.7099940453826984,0.5779992743322451
2007-2010,nowcast M3,diag4/student_t,56,2.3705115724108743,1.7254226404534587,1.2200617930994773,0.8126001389401568,0.8571428571428571,56,0.8571428571428571,0.6795581209038892,0.5532216830597712
2007-2010,nowcast M3,diag4/student_t_ar1,56,2.4672718002087453,1.9076987279480437,0.8725129875700441,0.7703131218916909,0.9642857142857143,56,0.8214285714285714,0.7072965210643574,0.5758032459167471
2007-2010,nowcast M3,diag4/student_t_ar1_shared,56,2.436741433197157,1.822391105139501,0.9968441821949894,0.7775381852061418,1.0,56,0.8571428571428571,0.6985443347943698,0.5686781758604952
2007-2010,nowcast M3,fed_overlap/gaussian,56,2.3467676220078135,1.76807474332912,0.8106119550476757,0.7860962681425118,0.8928571428571429,56,0.8214285714285714,0.6727514068989755,0.5476804031278999
2007-2010,nowcast M3,fed_overlap/gaussian_ar1,56,2.46206609934504,1.9207107340632648,0.7607249707691749,0.7653082200008621,0.9285714285714286,56,0.7857142857142857,0.7058041949613764,0.5745883576931069
2007-2010,nowcast M3,fed_overlap/student_t,56,2.295128113647674,1.5828760569300009,0.9442951436887589,0.7995176784415816,0.9107142857142857,56,0.8571428571428571,0.6579478313020306,0.5356289556429501
2007-2010,nowcast M3,fed_overlap/student_t_ar1,56,2.5172070770795365,1.9390009444136893,0.982566475197212,0.7690126991653617,0.9642857142857143,56,0.8214285714285714,0.7216115420547923,0.587456965829373
2007-2010,nowcast M3,fed_overlap/student_t_ar1_shared,56,2.460779511197569,1.8531735313592417,1.0912981714027767,0.7833402658716758,0.9821428571428571,56,0.8214285714285714,0.7054353668003802,0.574288098260235
2007-2010,nowcast M3,lbvar/-,56,2.565080819552023,2.044521670137599,-0.5001970084831937,0.6964794865479805,0.8571428571428571,56,0.9107142857142857,0.7353355798759419,0.5986295720689888
2007-2010,nowcast M3,qbvar/-,56,3.2266198671687794,2.305502274390466,0.2266456364509772,0.3884544880967171,0.6964285714285714,56,0.75,0.924979974501606,0.7530172365679606
2007-2010,nowcast M3,ar2,56,3.4883132133831696,2.278814721647553,0.9789809322118324,0.3528061712564246,0.7857142857142857,56,0.7142857142857143,1.0,0.8140903125753596
2007-2010,nowcast M3,mean,56,4.2849216597946675,2.8901808170022187,2.4428989641492374,-0.21032268111045543,0.7142857142857143,56,0.6428571428571429,1.2283649425043748,1.0
2007-2010,backcast,bbvar/-,56,2.314723439836348,1.603300137203626,0.3753237765567122,0.7549874739615124,0.8571428571428571,56,0.9107142857142857,0.6635652529582899,0.5402020441949618
2007-2010,backcast,cbvar/authors,56,1.9580677989213595,1.4760178573852707,-0.33819579957045803,0.8329283768712493,0.9285714285714286,56,0.8928571428571429,0.5613222434869348,0.4569670006557809
2007-2010,backcast,diag3/gaussian,56,3.035482568477943,1.9920748535409918,1.7069869003280438,0.7051109957843003,0.7142857142857143,56,0.7857142857142857,0.8701863573580754,0.7084102836604491
2007-2010,backcast,diag3/gaussian_ar1,56,2.6570075332435867,1.9772532636108238,0.9156322240770545,0.735487585224345,0.8571428571428571,56,0.8571428571428571,0.7616883492714422,0.6200831063433981
2007-2010,backcast,diag3/student_t,56,3.1568752878246413,2.012292922745672,1.8259078709082495,0.7222656955208157,0.7142857142857143,56,0.7857142857142857,0.9049861909512763,0.7367404910679086
2007-2010,backcast,diag3/student_t_ar1,56,2.891838706704814,2.0918181623737513,0.9906077530331939,0.6793356561298842,0.7857142857142857,56,0.8571428571428571,0.8290077552698143,0.6748871826150004
2007-2010,backcast,diag3/student_t_ar1_shared,56,2.7888581849208625,1.8100475124941775,1.2332809812155219,0.6962058190766112,0.7857142857142857,56,0.8571428571428571,0.7994861740686597,0.6508539493472335
2007-2010,backcast,diag4/gaussian,56,2.3616335884220185,1.8597680603733209,1.0733120906687978,0.8160009270347154,0.7857142857142857,56,0.9285714285714286,0.6770130558693634,0.5511497702702894
2007-2010,backcast,diag4/gaussian_ar1,56,2.3839515485366234,1.864837043119931,0.7876744232728161,0.7905093192697933,0.9285714285714286,56,0.8214285714285714,0.6834109790916763,0.5563582575861753
2007-2010,backcast,diag4/student_t,56,2.3010629504098126,1.7083196975145185,1.1789608300322025,0.8255940234419964,0.8214285714285714,56,0.9107142857142857,0.6596491798906176,0.5370140070472325
2007-2010,backcast,diag4/student_t_ar1,56,2.386854138041422,1.8724006852982042,0.8418979285986917,0.7923936575644621,0.9285714285714286,56,0.8214285714285714,0.6842430687944193,0.5570356537523721
2007-2010,backcast,diag4/student_t_ar1_shared,56,2.3253900883594243,1.7757320082996866,0.9331457384653332,0.8002076604262777,0.9821428571428571,56,0.8928571428571429,0.6666230771474002,0.5426913892448751
2007-2010,backcast,fed_overlap/gaussian,56,2.3628889094213426,1.7726918895298682,0.8483830602100481,0.7916747146165244,0.9285714285714286,56,0.8571428571428571,0.6773729206299325,0.551442732685706
2007-2010,backcast,fed_overlap/gaussian_ar1,56,2.450830782128058,1.8805868899895712,0.7684079399262809,0.7744643334376469,0.9285714285714286,56,0.8571428571428571,0.7025833496617409,0.5719662987363697
2007-2010,backcast,fed_overlap/student_t,56,2.2984944781082084,1.5681777326161963,0.952245467186767,0.8009680648442522,0.9285714285714286,56,0.8571428571428571,0.6589128720694764,0.536414585982968
2007-2010,backcast,fed_overlap/student_t_ar1,56,2.489251698523784,1.9107435023645603,0.9434191222661722,0.7794737019892444,0.9285714285714286,56,0.8392857142857143,0.7135975316016885,0.5809328375546237
2007-2010,backcast,fed_overlap/student_t_ar1_shared,56,2.4346109554734046,1.8290530522124888,1.0343928637533903,0.7898969615398965,0.9285714285714286,56,0.8214285714285714,0.697933587538195,0.5681809724358112
2007-2010,backcast,lbvar/-,56,2.4520741947225333,2.0518359825978183,-0.6784646734265909,0.7377842614065938,0.8571428571428571,56,0.8571428571428571,0.7029398006219656,0.5722564820099969
2007-2010,backcast,qbvar/-,56,2.4415261959667798,1.7740429740943007,0.10868290561917379,0.7140135121766011,0.8571428571428571,56,0.8928571428571429,0.6999159899402626,0.5697948270269607
2007-2010,backcast,ar2,56,3.4883132133831696,2.278814721647553,0.9789809322118324,0.3528061712564246,0.7857142857142857,56,0.7142857142857143,1.0,0.8140903125753596
2007-2010,backcast,mean,56,4.2849216597946675,2.8901808170022187,2.4428989641492374,-0.21032268111045543,0.7142857142857143,56,0.6428571428571429,1.2283649425043748,1.0
2019-2021,forecast,bbvar/-,130,16.238152679269003,10.227022376925348,-2.193344102382389,-0.5301013210522904,0.7153846153846154,130,0.5384615384615384,1.018137199960501,1.1262023751959207
2019-2021,forecast,cbvar/authors,130,16.390791529212006,10.78046997257191,-1.8700850697293159,-0.2859435570089158,0.6846153846153846,130,0.5615384615384615,1.0277077031055148,1.1367886924173647
2019-2021,forecast,diag3/gaussian,130,15.041857289071006,8.471562174494535,-0.46991205577112394,-0.3220820975713415,0.8153846153846154,130,0.7384615384615385,0.9431291086486833,1.0432329182331865
2019-2021,forecast,diag3/gaussian_ar1,130,17.877936491466258,9.586387764703604,-1.8419987942280676,-0.46628130559869835,0.7461538461538462,130,0.7,1.1209521526258077,1.2399301163115748
2019-2021,forecast,diag3/student_t,130,14.669260354943447,8.222299348602009,-0.5079587872418476,-0.2519109320652217,0.9,130,0.7846153846153846,0.9197671655311749,1.0173913363430929
2019-2021,forecast,diag3/student_t_ar1,130,15.552061404357598,8.872474555952842,-0.07823838348713208,-0.2617469714750856,0.7692307692307693,130,0.7307692307692307,0.975119064624981,1.0786182910535855
2019-2021,forecast,diag3/student_t_ar1_shared,130,15.217236273016919,8.551077258349085,0.014730341417185417,-0.24010012578346213,0.8769230769230769,130,0.7461538461538462,0.9541254252355186,1.0553963848651695
2019-2021,forecast,diag4/gaussian,130,15.093515736477402,8.4966954697984,-0.5670238908715135,-0.3306674079848121,0.8307692307692308,130,0.7307692307692307,0.9463681092933689,1.0468157067016244
2019-2021,forecast,diag4/gaussian_ar1,130,15.364016583782323,8.594011804762562,-0.4974097546876198,-0.4021139008782216,0.7692307692307693,130,0.7461538461538462,0.9633285961604239,1.06557638119117
2019-2021,forecast,diag4/student_t,130,14.461428974048804,8.083412061206435,-0.14544856610313558,0.005590503037307384,0.8692307692307693,130,0.7692307692307693,0.9067360736091151,1.002977123136278
2019-2021,forecast,diag4/student_t_ar1,130,15.03829034422331,8.4011740603815,-0.12010036600116616,-0.24023980543161919,0.7923076923076923,130,0.7615384615384615,0.9429054601024861,1.0429855316099041
2019-2021,forecast,diag4/student_t_ar1_shared,130,14.799455895352734,8.234079081617462,-0.04479607489993388,-0.13593347982944878,0.8538461538461538,130,0.7615384615384615,0.9279304662204761,1.0264210905118691
2019-2021,forecast,fed_overlap/gaussian,130,15.081166213062014,8.472869230972904,-0.7284486718883666,-0.401744098328227,0.8692307692307693,130,0.7461538461538462,0.9455937903520867,1.0459592014773136
2019-2021,forecast,fed_overlap/gaussian_ar1,130,15.294086314197843,8.543104902546355,-0.5291049246924584,-0.35628728384465325,0.7846153846153846,130,0.7461538461538462,0.9589439466086234,1.0607263445361583
2019-2021,forecast,fed_overlap/student_t,130,14.438446105192577,8.076501354957037,-0.16405192495663354,0.01672597840793398,0.8615384615384616,130,0.7692307692307693,0.9052950406168454,1.0013831387708185
2019-2021,forecast,fed_overlap/student_t_ar1,130,14.671912403289777,8.295790304494178,-0.14469347440609417,-0.135101446784377,0.7846153846153846,130,0.7615384615384615,0.9199334497835049,1.0175752700211267
2019-2021,forecast,fed_overlap/student_t_ar1_shared,130,14.706284061503778,8.251721915697685,-0.15071696106110283,-0.10362059029564782,0.8461538461538461,130,0.7615384615384615,0.9220885633942224,1.0199591275869844
2019-2021,forecast,lbvar/-,130,16.177429404159827,10.484237853939606,-1.8979790118250683,-0.20975278190586089,0.7230769230769231,130,0.5692307692307692,1.0143298318125824,1.1219908926456341
2019-2021,forecast,qbvar/-,130,14.677162237436903,9.193696097684732,-0.5703655517705757,0.009687466136040908,0.7076923076923077,130,0.7076923076923077,0.9202626160097613,1.0179393739806506
2019-2021,forecast,ar2,130,15.948884570663925,10.513137759435242,-1.953899239193932,-0.10153138707693941,0.7615384615384615,130,0.6692307692307692,1.0,1.1061400911779005
