window,metodo,fase,n,n_com,RMSE,RMSE_com,RMSE_rel_ar2,MAE,Bias,corr,MDA,MDA_com,n_dir,SignAcc
2007-2019,diag4/student_t,nowcast M2,260,260,1.9111532349357718,1.9111532349357718,0.8164813297819581,1.4212646634864519,0.7238453645614716,0.671268058454406,0.7307692307692307,0.7307692307692307,260,0.9038461538461539
2007-2019,diag4/student_t,nowcast M3,208,208,1.8980443080871612,1.8980443080871612,0.8108809447214019,1.4474737558467585,0.5530736414979662,0.6539107972659605,0.7355769230769231,0.7355769230769231,208,0.9038461538461539
2007-2019,diag4/student_t,backcast,205,205,1.8946223286530115,1.8946223286530115,0.8063579807959493,1.4546664305039756,0.4578766509566643,0.6529965937247595,0.7313432835820896,0.7313432835820896,201,0.9219512195121952
2007-2019,diag4/student_t_ar1,forecast,678,261,2.651864432907201,2.5617938984095288,0.9491527447225588,1.8114594985492805,0.9821565190670067,0.314711267065109,0.7833827893175074,0.8084291187739464,674,0.8436578171091446
2007-2019,diag4/student_t_ar1,nowcast M1,208,208,2.02522592879192,2.02522592879192,0.8113957117931797,1.4436727752183445,0.7148360954214227,0.6081938605359427,0.8137254901960784,0.8137254901960784,204,0.8942307692307693
2007-2019,diag4/student_t_ar1,nowcast M2,260,260,1.866090197483157,1.866090197483157,0.7972295355925918,1.4047916095829507,0.56539575642107,0.6743522143636764,0.7346153846153847,0.7346153846153847,260,0.9038461538461539
2007-2019,diag4/student_t_ar1,nowcast M3,208,208,1.9119465869253744,1.9119465869253744,0.8168202649733467,1.4964830505362627,0.37274966769946577,0.646170149753057,0.7644230769230769,0.7644230769230769,208,0.9134615384615384
2007-2019,diag4/student_t_ar1,backcast,205,205,1.9504711604739002,1.9504711604739002,0.8301274416409092,1.527957092187693,0.2720024343724547,0.6370270401112036,0.7512437810945274,0.7512437810945274,201,0.9170731707317074
2007-2019,diag4/student_t_ar1_shared,forecast,678,261,2.698660640875732,2.609105820104506,0.9659019980723031,1.8401470446869983,1.1051813386031204,0.3096647823257669,0.7640949554896143,0.7854406130268199,674,0.8392330383480826
2007-2019,diag4/student_t_ar1_shared,nowcast M1,208,208,2.085975599462029,2.085975599462029,0.8357347356886409,1.493448574624619,0.8438821187756138,0.6025897294019685,0.803921568627451,0.803921568627451,204,0.8942307692307693
2007-2019,diag4/student_t_ar1_shared,nowcast M2,260,260,1.9080421614112695,1.9080421614112695,0.8151522194825318,1.4314399347287086,0.7103805903501963,0.6731643027365477,0.7192307692307692,0.7192307692307692,260,0.9038461538461539
2007-2019,diag4/student_t_ar1_shared,nowcast M3,208,208,1.892468687963193,1.892468687963193,0.8084989328293363,1.4718676078025406,0.5456790284879605,0.661338603491628,0.75,0.75,208,0.9134615384615384
2007-2019,diag4/student_t_ar1_shared,backcast,205,205,1.8996531323171955,1.8996531323171955,0.8084991086730373,1.4741197166464586,0.44547022975087863,0.6562645490326249,0.7562189054726368,0.7562189054726368,201,0.926829268292683
2007-2019,nyfed,forecast,261,261,2.8056858952728576,2.8056858952728576,1.004208373279537,1.9363113259759477,0.6093412744596228,0.0619940314719983,0.6551724137931034,0.6551724137931034,261,0.8275862068965517
2007-2019,nyfed,nowcast M1,208,208,2.3957964390778765,2.3957964390778765,0.9598627636358328,1.662088182488043,0.4730661575028086,0.32617844160458165,0.6911764705882353,0.6911764705882353,204,0.8894230769230769
