job,ok,returncode,minutes,detail,log
bvar_lbvar_2007-05-04,True,0,341.44,,output/_logs/run_all/bvar_lbvar_2007-05-04.log
bvar_bbvar_2025-10-31,True,0,349.36,,output/_logs/run_all/bvar_bbvar_2025-10-31.log
bvar_lbvar_2010-01-29,True,0,368.17,,output/_logs/run_all/bvar_lbvar_2010-01-29.log
bvar_lbvar_2008-05-02,True,0,374.77,,output/_logs/run_all/bvar_lbvar_2008-05-02.log
bvar_lbvar_2009-05-01,True,0,379.3,,output/_logs/run_all/bvar_lbvar_2009-05-01.log
bvar_bbvar_2013-08-02,True,0,379.66,,output/_logs/run_all/bvar_bbvar_2013-08-02.log
bvar_lbvar_2008-08-01,True,0,386.26,,output/_logs/run_all/bvar_lbvar_2008-08-01.log
bvar_bbvar_2020-01-31,True,0,393.33,,output/_logs/run_all/bvar_bbvar_2020-01-31.log
bvar_lbvar_2014-10-31,True,0,397.9,,output/_logs/run_all/bvar_lbvar_2014-10-31.log
dfm_diag4_student_t_ar1_shared,True,0,398.11,,output/_logs/run_all/dfm_diag4_student_t_ar1_shared.log
bvar_bbvar_2011-04-29,True,0,402.56,,output/_logs/run_all/bvar_bbvar_2011-04-29.log
bvar_lbvar_2007-11-02,True,0,402.81,,output/_logs/run_all/bvar_lbvar_2007-11-02.log
bvar_bbvar_2025-08-01,True,0,404.01,,output/_logs/run_all/bvar_bbvar_2025-08-01.log
bvar_lbvar_2012-11-02,True,0,404.7,,output/_logs/run_all/bvar_lbvar_2012-11-02.log
bvar_lbvar_2009-10-30,True,0,408.85,,output/_logs/run_all/bvar_lbvar_2009-10-30.log
bvar_bbvar_2014-10-31,True,0,410.15,,output/_logs/run_all/bvar_bbvar_2014-10-31.log
bvar_lbvar_2015-10-30,True,0,410.55,,output/_logs/run_all/bvar_lbvar_2015-10-30.log
bvar_bbvar_2016-01-29,True,0,412.64,,output/_logs/run_all/bvar_bbvar_2016-01-29.log
bvar_bbvar_2021-07-30,True,0,414.14,,output/_logs/run_all/bvar_bbvar_2021-07-30.log
bvar_bbvar_2007-08-03,True,0,415.74,,output/_logs/run_all/bvar_bbvar_2007-08-03.log
bvar_bbvar_2021-04-30,True,0,415.74,,output/_logs/run_all/bvar_bbvar_2021-04-30.log
bvar_bbvar_2023-02-03,True,0,415.85,,output/_logs/run_all/bvar_bbvar_2023-02-03.log
bvar_bbvar_2009-10-30,True,0,416.41,,output/_logs/run_all/bvar_bbvar_2009-10-30.log
bvar_bbvar_2019-02-01,True,0,417.55,,output/_logs/run_all/bvar_bbvar_2019-02-01.log
bvar_bbvar_2010-10-29,True,0,418.41,,output/_logs/run_all/bvar_bbvar_2010-10-29.log
bvar_bbvar_2023-11-03,True,0,419.45,,output/_logs/run_all/bvar_bbvar_2023-11-03.log
bvar_bbvar_2019-11-01,True,0,420.44,,output/_logs/run_all/bvar_bbvar_2019-11-01.log
bvar_lbvar_2007-08-03,True,0,421.8,,output/_logs/run_all/bvar_lbvar_2007-08-03.log
bvar_bbvar_2021-01-29,True,0,422.78,,output/_logs/run_all/bvar_bbvar_2021-01-29.log
bvar_lbvar_2013-02-01,True,0,423.08,,output/_logs/run_all/bvar_lbvar_2013-02-01.log
bvar_bbvar_2015-05-01,True,0,423.55,,output/_logs/run_all/bvar_bbvar_2015-05-01.log
bvar_bbvar_2010-07-30,True,0,425.54,,output/_logs/run_all/bvar_bbvar_2010-07-30.log
bvar_lbvar_2010-07-30,True,0,426.48,,output/_logs/run_all/bvar_lbvar_2010-07-30.log
bvar_lbvar_2014-01-31,True,0,426.9,,output/_logs/run_all/bvar_lbvar_2014-01-31.log
bvar_bbvar_2008-10-31,True,0,427.08,,output/_logs/run_all/bvar_bbvar_2008-10-31.log
bvar_bbvar_2009-05-01,True,0,428.28,,output/_logs/run_all/bvar_bbvar_2009-05-01.log
