,INDPRO,IPFINAL,IPMANSICS,PAYEMS,MANEMP,RPI,CMRMTSPLx,RETAILx,S&P 500,S&P PE ratio,T10YFFM,T1YFFM,BAAFFM,TB3SMFFM,NFCI,CPIAUCSL,PCEPI,UMCSENTx,TWEXAFEGSMTHx,GDPC1
1996-03-31,-0.0012250426290405514,-0.004427051704539942,-0.0020095628653828967,0.002136878783932872,-0.002149726302127064,0.0034878390060661957,0.0004976003650991601,0.0037392239454341336,-0.0038099397471897944,-0.012022327995441895,0.96,0.03,2.72,-0.35,-0.7647999999999999,0.0012832553598149943,0.0014381998432480003,5.200000000000003,-0.0008082493409373726,0.7462586731000087
1996-04-30,0.009901218260520928,0.013630557228078821,0.01212195915028591,0.0013940795875253542,0.0006395906837788345,0.0026287241001856643,0.008907784112883732,0.007885991979097895,0.00015453084466354738,-0.005047163027754653,1.29,0.32,2.97,-0.27,-0.69125,0.0006304812020561101,-2.355945474974419e-05,-1.0,0.006043706649450975,
1996-05-31,0.0074455836229239125,0.0049606983676664385,0.00789952810123662,0.002840922905459564,0.0010457213524848186,0.004307442625652413,0.007579682717400615,0.008861970562412225,0.02149272582134909,0.019116459465168045,1.5,0.4,3.06,-0.22,-0.7068,-0.0019310953122735341,-0.0012673188016885106,-3.299999999999997,0.004748926159400035,
1996-06-30,0.007593378241184112,0.008488978253090806,0.009450469495071445,0.002281970505485731,0.00023223409300854314,0.006624002931872042,-0.004725370855314992,-0.008002305969677437,0.010934659573592853,0.010678502943881618,1.64,0.54,3.13,-0.18,-0.70875,-3.6793390600919906e-06,-0.0017382997215529272,3.0,0.0027034183248568766,1.6541866808907457
1996-07-31,0.00015374603570972312,0.0005675629483041789,0.004472609839220709,0.002076826622564809,-0.00023223409300854314,-0.0020607060842365854,0.007866007926532248,0.006438265308084112,-0.03722898069241509,-0.03802668694761424,1.47,0.45,2.95,-0.25,-0.704,-3.665264431518267e-06,0.0021253991028267194,2.299999999999997,-0.004519687424587637,
1996-08-31,0.0051052352845752935,-0.0007101080797831116,0.0045173056433283065,0.0014903194455904156,0.0019722728128819256,0.0032004625800432507,0.0034266378391585306,9.01172235963088e-05,0.02848480322075364,0.027598943926468777,1.42,0.45,2.96,-0.17,-0.7375999999999999,-0.0006395813395343453,-0.0011581320532592088,0.5999999999999943,-0.0059292153785373,
1996-09-30,0.006239632118214544,0.009736810039559174,0.007678289990899145,0.0016791498471508959,-0.00028979627524883256,0.0028268288686668086,0.003053217028517352,0.011257455373719694,0.01824267822007286,0.01577847234905594,1.53,0.53,3.05,-0.21,-0.73625,0.0019025393270881708,0.001871375186718538,-0.5999999999999943,0.007867747155600568,0.8930342932712776
1996-10-31,0.00029609405001806977,-0.003158666784480957,-0.00046942998467436325,0.0021985780328552806,0.0009849648816242507,0.00014460252560510867,0.007797750518982127,0.01069608736419525,0.038628979956373044,0.03602565160232718,1.29,0.31,2.83,-0.25,-0.74975,-1.0052609325406081e-05,0.00019290159736140566,1.7999999999999972,0.003348967469665176,
1996-11-30,0.009144785172068737,0.012137815804911689,0.009155050627470906,0.002334322202978356,0.0005210594994142781,0.0031821363434385574,0.007370385040294636,-0.0016670811141263897,0.04761777136918699,0.043137044208268804,0.89,0.11,2.48,-0.28,-0.7806,-9.989165751456142e-06,-0.0012398271114690829,2.700000000000003,-0.01012674960751081,
1996-12-31,0.006386648092456149,0.0068899986322357165,0.008634775306031628,0.001619232870622156,0.00040508087704083096,0.0038488517468149297,-0.007228160484027413,0.002427720830219471,0.01025081326223809,0.004771938497841521,1.01,0.18,2.6,-0.38,-0.7315,-0.000638264387432308,-0.0006180052665456515,-2.299999999999997,0.017171230019696893,1.0330155049368628
